n,p,seed,n_edges,C_star,final_expectation,approximation_ratio,gammas,betas,gate_count,cnot_count,single_qubit_count,depth,n_iterations,wall_time_seconds
3,1,0,3,2,-1.999999999996932,0.999999999998466,[0.6154782792177975],[1.2630564733230907],15,6,9,11,68,0.9307830333709717
3,1,1,3,2,-1.999999999996932,0.999999999998466,[0.6154782792177975],[1.2630564733230907],15,6,9,11,68,0.9706900119781494
3,1,2,3,2,-1.999999999996932,0.999999999998466,[0.6154782792177975],[1.2630564733230907],15,6,9,11,68,0.9455230236053467
3,2,0,3,2,-1.999999999998136,0.999999999999068,"[0.6154782986798641, 2.1991148575578383]","[1.2630561434719265, 1.0763167221433701e-06]",24,12,12,20,118,1.0370078086853027
3,2,1,3,2,-1.999999999998136,0.999999999999068,"[0.6154782986798641, 2.1991148575578383]","[1.2630561434719265, 1.0763167221433701e-06]",24,12,12,20,118,1.0297670364379883
3,2,2,3,2,-1.999999999998136,0.999999999999068,"[0.6154782986798641, 2.1991148575578383]","[1.2630561434719265, 1.0763167221433701e-06]",24,12,12,20,118,1.0395681858062744
3,3,0,3,2,-1.9999999999994478,0.9999999999997239,"[0.6154776947730848, 2.204115470518873, 2.20461487542956]","[1.2630553428019866, 6.181649704350557e-07, -8.594298645925009e-07]",33,18,15,29,182,1.2133889198303223
3,3,1,3,2,-1.9999999999994478,0.9999999999997239,"[0.6154776947730848, 2.204115470518873, 2.20461487542956]","[1.2630553428019866, 6.181649704350557e-07, -8.594298645925009e-07]",33,18,15,29,182,1.1715571880340576
3,3,2,3,2,-1.9999999999994478,0.9999999999997239,"[0.6154776947730848, 2.204115470518873, 2.20461487542956]","[1.2630553428019866, 6.181649704350557e-07, -8.594298645925009e-07]",33,18,15,29,182,1.236515760421753
4,1,0,6,4,-3.6975160992513714,0.9243790248128428,[0.4915199057336665],[1.288339888484562],26,12,14,20,59,1.4535629749298096
4,1,1,6,4,-3.6975160992513714,0.9243790248128428,[0.4915199057336665],[1.288339888484562],26,12,14,20,59,1.4437291622161865
4,1,2,6,4,-3.6975160992513714,0.9243790248128428,[0.4915199057336665],[1.288339888484562],26,12,14,20,59,1.4813649654388428
4,2,0,6,4,-3.999922862245762,0.9999807155614405,"[0.4611350212525504, 1.4021238553794562]","[1.2939020409863469, 1.4084528644779157]",48,24,24,36,259,1.8554730415344238
4,2,1,6,4,-3.999922862245762,0.9999807155614405,"[0.4611350212525504, 1.4021238553794562]","[1.2939020409863469, 1.4084528644779157]",48,24,24,36,259,1.8057239055633545
4,2,2,6,4,-3.999922862245762,0.9999807155614405,"[0.4611350212525504, 1.4021238553794562]","[1.2939020409863469, 1.4084528644779157]",48,24,24,36,259,1.7923028469085693
4,3,0,6,4,-3.999999998162683,0.9999999995406708,"[0.46047665349884315, 1.4100986184376016, 0.3148542926772673]","[1.29394975285641, 1.4119432732388693, -0.003838444952415214]",70,36,34,52,459,2.2809321880340576
4,3,1,6,4,-3.999999998162683,0.9999999995406708,"[0.46047665349884315, 1.4100986184376016, 0.3148542926772673]","[1.29394975285641, 1.4119432732388693, -0.003838444952415214]",70,36,34,52,459,2.3265421390533447
4,3,2,6,4,-3.999999998162683,0.9999999995406708,"[0.46047665349884315, 1.4100986184376016, 0.3148542926772673]","[1.29394975285641, 1.4119432732388693, -0.003838444952415214]",70,36,34,52,459,2.3198070526123047
6,1,0,9,7,-5.939222467639586,0.8484603525199408,[0.5703290792542605],[1.2226129553660587],39,18,21,17,47,2.1798038482666016
6,1,1,9,9,-6.232050807567892,0.6924500897297657,[2.526112573508571],[1.1780973835854183],39,18,21,20,51,2.134359836578369
6,1,2,9,7,-5.939222467639464,0.8484603525199235,[0.5703290545055654],[1.222612968055391],39,18,21,26,47,2.1187267303466797
6,2,0,9,7,-6.602948885059719,0.9432784121513885,"[0.5023248589881152, 0.9168180937158613]","[1.0923574959449895, 1.2848638976611062]",72,36,36,27,176,2.527651786804199
6,2,1,9,9,-8.019757343682146,0.8910841492980163,"[2.6506961353265055, 2.3728720563962464]","[0.9678583010422125, 0.42061277567752486]",72,36,36,36,157,2.5107269287109375
6,2,2,9,7,-6.602948885056278,0.9432784121508968,"[0.5023253019426612, 0.9168183705616905]","[1.092357238095601, 1.2848639305600404]",72,36,36,51,176,2.532445192337036
6,3,0,9,7,-6.878013083713684,0.9825732976733834,"[0.40903672276747216, 0.858477579037217, 1.0478317127591876]","[1.0641044224961114, 1.2281701404156786, 1.4016901662645085]",105,54,51,37,376,3.266876220703125
6,3,1,9,9,-8.857860191079636,0.9842066878977374,"[2.7173651846663276, 2.4536003057204416, 2.3192082056362087]","[0.9857043020151004, 0.5938199031230188, 1.2606850610161557]",105,54,51,52,357,3.1337759494781494
6,3,2,9,7,-6.878013805211344,0.9825734007444777,"[0.40902960491585927, 0.8587284399777249, 1.0477682792379444]","[1.0640476172229696, 1.2279751766465028, 1.4019220006406448]",105,54,51,76,376,3.146578788757324
8,1,0,12,10,-8.006921197764154,0.8006921197764154,[0.5814586004516805],[1.2122114976430485],52,24,28,23,51,3.0258071422576904
8,1,1,12,10,-8.006921197766857,0.8006921197766858,[0.5814582437266043],[1.2122117078292327],52,24,28,26,51,3.003993034362793
8,1,2,12,10,-8.006921197765354,0.8006921197765354,[0.5814573327058133],[1.2122112989042853],52,24,28,29,51,3.0845839977264404
8,2,0,12,10,-8.784244684518434,0.8784244684518434,"[0.5085227289236947, 0.9279391033529016]","[1.0778460586762737, 1.2951331728379483]",96,48,48,36,150,3.4902029037475586
8,2,1,12,10,-8.784244684554764,0.8784244684554764,"[0.5085241246503724, 0.9279411315843941]","[1.0778459639301035, 1.2951334272279031]",96,48,48,42,170,3.5452520847320557
8,2,2,12,10,-8.784244684517496,0.8784244684517496,"[0.508522792594342, 0.9279389967201301]","[1.0778460700159183, 1.2951332421575552]",96,48,48,54,150,3.5255062580108643
8,3,0,12,10,-9.360980102941294,0.9360980102941294,"[0.4417409089227151, 0.8724999367988316, 0.9916175691950945]","[1.045182625910129, 1.1539471464627593, 1.3190627722618793]",140,72,68,49,350,4.188218832015991
8,3,1,12,10,-9.36098010303317,0.936098010303317,"[0.44173924489925404, 0.8725014557316196, 0.9916195429672707]","[1.0451835440587172, 1.1539481121283728, 1.3190647599013643]",140,72,68,58,370,4.292670965194702
8,3,2,12,10,-9.360980102938953,0.9360980102938953,"[0.44174091610718874, 0.8724998992761104, 0.9916175401250411]","[1.0451826139181775, 1.1539471301042403, 1.319062765907239]",140,72,68,79,350,4.2316179275512695
10,1,0,15,13,-9.941780425807,0.7647523404466923,[0.5747586977839162],[1.2185134908313],65,30,35,23,55,4.770981073379517
10,1,1,15,12,-9.816028068422073,0.8180023390351727,[0.5615789306025298],[1.2305654341438064],65,30,35,23,53,4.972479820251465
10,1,2,15,13,-10.226410625294793,0.7866469711765226,[2.5397588046176724],[1.1922359709313812],65,30,35,32,49,4.884449005126953
10,2,0,15,13,-10.868469316220791,0.8360361012477532,"[0.4841305189771078, 0.9069501856881137]","[1.0737383731825685, 1.294645320333827]",120,60,60,42,175,6.394153833389282
10,2,1,15,12,-10.710639521551384,0.8925532934626154,"[0.5418217174440394, 1.0476228999981574]","[1.1521375064520283, 1.3278686395056105]",120,60,60,42,253,6.062668085098267
10,2,2,15,13,-11.165148000216947,0.8588575384782267,"[2.674102395710404, 2.2726696347465793]","[1.0464253719858108, 0.2793474302794218]",120,60,60,54,167,5.550395965576172
10,3,0,15,13,-11.493948107404696,0.8841498544157459,"[0.43857872039078727, 0.8383532132072032, 0.9962176053884914]","[1.0057805660506733, 1.1459822965520865, 1.3408368691280834]",175,90,85,61,375,7.032088041305542
10,3,1,15,12,-11.177110102234286,0.9314258418528572,"[0.41629004195472297, 0.9326188494440288, 1.1122083507765914]","[1.042140492512196, 1.233096273933607, 1.378689938841279]",175,90,85,61,453,7.401917219161987
10,3,2,15,13,-11.700617303123554,0.900047484855658,"[2.695489807977952, 2.2832463346702427, 2.069739645474847]","[1.0129591111258416, 0.3977088676734196, 1.3627509715747963]",175,90,85,76,367,7.0016560554504395
